age,income,web_visits,clicked_ad,device_type,time_on_site,past_purchases,converted
28,52282,1,1,tablet,2.23,1,0
34,12495,2,0,mobile,1.8,2,0
40,46998,4,1,mobile,3.11,0,1
33,67718,2,1,desktop,3.18,1,0
51,75733,2,1,mobile,2.06,2,1
51,64089,6,0,mobile,3.02,0,0
52,64599,2,0,mobile,2.92,2,1
32,29261,4,0,mobile,0.26,2,0
20,44824,1,0,mobile,3.47,2,0
47,77116,4,0,desktop,1.13,2,0
30,47142,0,0,tablet,2.27,4,1
35,52960,3,0,desktop,4.1,1,0
41,42916,6,0,mobile,3.34,3,1
18,40993,3,1,desktop,1.17,2,0
51,47945,0,0,desktop,2.57,0,1
43,45084,3,0,mobile,2.54,2,1
38,69362,4,0,mobile,2.77,1,0
43,58230,1,0,mobile,1.13,2,0
40,70283,3,0,mobile,4.69,0,0
36,34191,2,0,mobile,2.94,2,1
31,73381,2,0,mobile,2.63,1,0
27,55321,8,0,mobile,3.45,1,0
37,82590,4,0,mobile,2.31,0,0
38,54208,3,1,mobile,3.12,2,1
45,32598,4,1,mobile,1.76,2,1
37,74263,0,1,mobile,1.84,2,0
26,52952,6,0,mobile,3.05,1,1
19,22718,7,1,mobile,2.51,0,1
33,57177,7,0,mobile,2.45,0,0
34,58468,0,0,mobile,2.87,0,0
34,71141,1,0,desktop,1.33,2,0
19,1187,3,0,mobile,-0.11,1,0
45,72233,5,0,mobile,2.23,1,0
45,47881,3,1,desktop,1.13,0,0
26,83893,2,1,desktop,2.86,1,0
43,29225,1,1,mobile,3.61,2,1
44,63180,5,1,mobile,2.31,2,0
35,61175,2,0,mobile,1.08,2,0
25,48668,3,1,desktop,2.37,1,1
51,43392,5,0,mobile,1.65,0,0
38,49393,4,1,desktop,3.64,1,0
32,49799,2,1,mobile,2.51,1,0
42,36198,1,0,desktop,3.7,0,1
51,69894,4,1,mobile,1.68,1,0
30,38616,1,0,desktop,2.48,0,1
41,70347,1,1,desktop,1.74,1,0
54,28165,0,0,mobile,2.99,0,1
23,52342,3,1,mobile,2.2,1,0
29,52565,2,0,mobile,1.78,1,0
29,54763,4,1,mobile,1.09,0,0
33,69344,2,0,mobile,3.34,1,0
32,51964,2,0,mobile,3.12,2,1
38,48131,2,0,desktop,1.94,1,0
26,52010,1,0,mobile,1.75,0,0
28,69715,2,0,desktop,2.99,0,0
38,36915,2,1,mobile,3.76,0,1
36,39689,2,0,mobile,-1.08,1,0
43,25649,3,0,tablet,3.63,5,1
39,85408,1,0,mobile,2.82,1,0
42,37603,2,0,desktop,3.0,2,0
23,26718,0,1,mobile,2.06,4,1
31,42866,4,1,desktop,1.5,1,0
53,45813,2,0,tablet,2.81,2,0
38,76981,4,0,mobile,0.85,2,0
42,48026,3,1,mobile,3.81,2,1
37,59376,4,1,mobile,2.99,1,0
39,28138,2,1,tablet,1.48,2,0
32,58119,2,1,desktop,3.09,1,1
70,30268,7,1,mobile,1.0,3,0
31,50296,4,1,desktop,3.12,3,1
34,43601,3,0,mobile,3.28,0,0
10,55874,6,1,mobile,2.55,2,1
46,64516,5,1,mobile,3.08,0,0
29,34961,4,1,tablet,1.52,1,0
34,37953,3,0,mobile,-0.02,0,0
29,57903,2,0,desktop,3.22,1,1
33,65309,1,1,desktop,3.51,0,1
32,76260,2,1,mobile,3.76,0,0
34,47921,2,1,desktop,2.34,1,0
34,32627,2,0,mobile,1.48,1,0
33,57799,3,0,desktop,0.07,0,0
33,43080,0,0,mobile,5.81,2,1
48,41133,7,1,mobile,3.18,0,0
43,76122,3,1,mobile,2.91,2,1
43,64280,4,1,desktop,1.84,2,0
27,44078,5,0,desktop,2.7,1,0
47,54719,0,1,desktop,2.7,1,0
46,53714,3,0,tablet,2.09,1,0
29,57476,2,1,desktop,2.84,3,0
50,48910,4,0,mobile,2.51,2,0
28,26499,2,0,mobile,4.1,1,1
16,40354,4,0,mobile,0.84,0,0
46,47020,3,0,desktop,2.08,0,1
33,55421,3,0,mobile,2.58,0,0
44,38765,4,0,mobile,2.56,0,0
27,57794,1,0,mobile,-0.24,3,0
22,49280,5,0,mobile,2.3,5,1
47,43607,2,1,desktop,3.03,0,0
20,35945,0,1,mobile,-0.27,1,0
19,61697,3,1,desktop,3.81,1,1
15,61363,6,0,desktop,3.19,1,0
7,67003,2,1,mobile,4.75,2,1
24,63239,3,0,mobile,1.58,4,0
13,64362,5,1,mobile,1.61,0,0
34,60731,4,1,desktop,1.31,2,1
12,28623,1,0,mobile,2.16,1,0
24,50813,3,0,mobile,2.14,0,0
58,33514,5,1,mobile,0.46,1,0
38,75538,2,0,desktop,1.48,4,0
35,54789,4,0,mobile,3.28,0,0
18,74046,3,0,mobile,1.71,4,1
32,39545,5,1,desktop,4.09,2,1
35,53621,4,0,mobile,1.01,2,0
18,58950,1,0,mobile,3.13,0,0
36,50036,1,0,desktop,1.66,1,0
46,57816,8,1,desktop,2.76,0,0
31,77232,2,1,desktop,2.55,1,0
33,39521,4,0,mobile,3.04,1,1
14,15431,1,0,mobile,0.45,0,0
21,79009,1,0,mobile,3.16,3,1
45,43125,1,0,desktop,2.6,1,0
28,71837,4,0,mobile,2.46,3,1
25,64778,2,0,desktop,3.87,5,1
28,51749,3,0,desktop,4.07,3,1
34,60705,4,1,mobile,4.06,2,1
23,37891,3,0,mobile,1.12,1,0
36,56288,1,0,mobile,3.51,0,0
21,63910,3,0,mobile,2.1,2,0
42,43385,4,0,mobile,1.28,2,0
24,49295,4,1,mobile,2.35,0,0
48,59688,3,0,desktop,1.18,0,0
34,74849,0,0,mobile,2.27,2,0
26,54952,3,0,desktop,3.23,0,0
44,48540,4,0,mobile,2.03,1,0
21,52803,4,1,desktop,2.83,0,1
29,72402,3,1,mobile,3.85,0,0
34,45377,4,0,mobile,2.85,2,1
33,50496,8,0,mobile,4.35,0,1
14,45516,3,0,desktop,2.9,1,0
25,51935,1,1,mobile,1.23,2,0
36,58205,4,0,desktop,1.89,0,0
21,70508,6,0,mobile,2.47,1,0
47,23131,2,1,mobile,2.75,1,1
39,63332,1,0,mobile,3.48,1,0
29,41626,1,0,desktop,1.49,1,0
32,63896,2,0,desktop,2.24,2,1
53,73594,4,1,tablet,2.84,0,0
44,69933,4,1,mobile,2.84,1,0
38,57369,2,0,desktop,4.34,1,1
20,67517,2,0,mobile,0.76,2,0
51,40849,7,0,desktop,3.12,0,0
45,53982,4,1,desktop,2.8,2,1
33,77792,2,0,desktop,2.79,2,0
29,43161,3,1,mobile,4.1,0,1
33,57959,3,0,mobile,1.89,0,0
22,49462,1,0,mobile,1.12,1,0
30,52073,5,0,desktop,0.98,2,0
42,61091,2,0,mobile,1.96,1,0
16,50957,2,1,mobile,2.78,3,1
31,54948,2,1,desktop,2.54,1,1
36,47431,3,1,tablet,4.16,1,1
36,27624,1,0,tablet,1.25,1,0
23,57896,3,0,mobile,2.56,0,0
23,61592,5,0,desktop,1.6,1,0
45,75732,2,1,desktop,1.7,0,0
22,53022,3,0,desktop,3.01,0,0
45,34079,5,0,desktop,3.47,0,0
30,43689,1,0,mobile,2.46,1,0
45,63105,3,1,mobile,1.74,2,0
30,53732,3,0,mobile,1.37,1,0
23,59189,3,0,desktop,2.21,0,0
43,49703,3,0,desktop,2.31,3,0
34,83047,1,0,desktop,3.31,1,0
49,80919,1,0,desktop,1.22,0,0
43,41026,3,0,mobile,4.37,1,1
32,68635,1,1,desktop,5.34,1,1
30,59560,3,1,desktop,2.68,3,1
35,55203,1,0,mobile,2.72,1,0
36,42104,2,1,desktop,2.74,1,1
26,79322,1,0,desktop,3.08,1,0
43,72478,3,1,desktop,1.64,2,0
31,33143,2,0,desktop,2.66,2,1
30,75752,0,0,mobile,2.35,1,0
29,54424,4,1,desktop,2.08,1,0
37,46033,7,0,desktop,3.49,2,1
28,40351,0,0,tablet,1.7,2,0
36,69172,2,0,desktop,3.46,0,0
62,60998,4,1,desktop,2.91,1,0
34,41887,2,1,desktop,3.53,0,0
30,42833,2,1,mobile,2.39,2,0
18,49187,1,1,mobile,2.08,0,0
35,47312,4,1,desktop,2.44,1,1
23,62916,2,0,desktop,3.48,1,0
31,60681,3,0,desktop,3.96,2,0
36,45465,1,1,tablet,3.36,1,1
17,30137,3,0,desktop,0.4,1,0
36,34990,4,0,desktop,3.62,3,1
38,68050,4,1,tablet,2.54,1,0
22,40077,4,0,mobile,2.54,0,0
31,56667,5,1,desktop,0.08,2,0
16,28552,3,0,desktop,1.8,0,1
50,60955,1,1,mobile,3.18,2,1
38,83792,5,1,mobile,1.41,0,0
33,35078,4,0,mobile,-0.05,2,0
33,63245,5,1,tablet,2.41,1,0
46,59086,5,0,mobile,1.45,2,0
34,68768,4,0,mobile,3.02,2,1
38,53031,5,1,mobile,3.43,1,1
50,59092,4,0,mobile,2.63,1,0
31,57729,7,0,desktop,2.24,0,0
24,63592,4,0,mobile,1.9,1,0
26,42413,2,1,desktop,2.59,1,1
49,57886,4,0,mobile,1.73,0,0
35,67154,5,0,tablet,2.65,1,0
29,72519,0,0,mobile,3.55,0,0
44,62435,4,0,mobile,2.31,2,0
44,38020,1,0,mobile,2.69,0,1
30,31696,4,0,mobile,2.98,0,1
25,61129,7,0,mobile,1.96,1,0
19,39825,4,0,desktop,2.55,0,0
17,67665,3,0,mobile,1.79,1,0
32,50683,5,1,mobile,1.63,0,0
26,70174,4,1,mobile,3.16,1,1
53,86887,1,1,mobile,1.36,0,0
35,54065,5,1,desktop,2.47,1,0
15,53259,3,0,mobile,2.21,0,0
49,70202,8,1,desktop,1.68,2,1
36,70958,3,0,mobile,2.85,1,0
42,80524,5,0,mobile,0.98,1,0
41,57948,0,1,mobile,1.39,0,0
37,45506,6,0,mobile,1.58,1,0
40,55115,3,1,desktop,1.26,1,0
37,45645,3,1,mobile,1.9,2,1
23,58597,7,0,mobile,2.53,3,1
38,41976,1,1,mobile,2.46,4,1
45,68530,6,0,mobile,2.63,0,0
32,65462,1,0,tablet,2.14,1,0
40,57085,3,0,mobile,2.5,1,0
39,55383,4,0,tablet,3.79,2,1
53,52053,2,1,desktop,0.62,2,0
32,74683,2,0,mobile,2.77,1,0
32,72811,5,0,desktop,2.25,2,0
33,57185,2,0,mobile,2.1,3,0
33,42150,4,1,desktop,1.64,2,0
12,37347,1,0,desktop,0.48,0,0
28,59314,0,0,mobile,2.48,2,0
37,45429,3,0,desktop,1.25,3,1
34,62139,2,1,desktop,3.19,1,0
27,49199,2,1,mobile,1.66,1,0
28,66606,0,0,mobile,1.84,1,0
31,58111,4,0,desktop,2.08,2,1
26,69970,1,0,mobile,3.03,0,0
29,21491,1,0,mobile,3.21,3,1
29,51594,3,0,desktop,3.13,0,0
43,88251,3,0,mobile,1.89,2,0
45,17452,3,0,desktop,3.17,2,1
44,67639,4,1,mobile,1.06,4,0
39,61270,1,0,mobile,3.08,0,0
27,74285,4,1,mobile,2.86,1,0
44,52396,4,1,mobile,3.02,0,0
31,72855,6,0,desktop,1.7,1,0
35,73253,6,0,desktop,2.28,2,0
48,57951,5,1,tablet,3.76,1,0
35,37539,2,0,mobile,0.94,1,0
37,68695,4,0,desktop,2.71,2,0
20,40398,4,1,mobile,2.07,1,1
39,52939,2,1,desktop,2.34,3,1
25,69203,2,0,mobile,2.79,1,0
45,71381,3,1,desktop,1.41,3,1
33,49780,3,0,mobile,3.04,1,0
12,64404,5,1,tablet,1.42,1,0
31,31861,2,1,desktop,2.25,3,1
32,47914,3,0,desktop,0.84,1,0
39,77033,0,1,desktop,2.48,1,0
41,75150,3,0,mobile,1.16,2,0
31,65038,2,0,mobile,2.86,0,0
45,52872,2,0,mobile,4.46,2,1
3,67708,5,1,desktop,2.09,2,0
27,54651,5,0,mobile,1.53,2,0
23,57523,2,1,mobile,2.15,0,0
22,56325,5,1,tablet,2.74,1,0
44,43367,2,0,mobile,1.29,0,0
43,65888,6,1,mobile,2.31,2,0
27,38950,3,1,mobile,4.42,0,1
46,66637,2,0,desktop,3.11,0,0
36,40590,1,0,mobile,1.52,1,0
30,44168,5,1,mobile,2.65,1,1
28,12387,1,1,mobile,2.17,1,1
27,52658,2,0,desktop,1.91,0,0
39,57837,2,0,mobile,1.56,0,0
41,67406,3,1,desktop,4.37,1,1
37,74663,2,1,mobile,0.08,3,0
14,32646,2,0,desktop,3.39,2,1
37,69772,3,0,mobile,1.98,2,0
40,48039,5,0,mobile,3.91,0,1
28,53919,7,0,desktop,1.22,2,0
35,53420,2,1,desktop,3.03,0,0
16,48257,5,0,mobile,3.55,3,1
22,41651,1,1,mobile,2.6,2,1
31,59188,7,0,desktop,2.79,0,0
31,67167,3,0,desktop,1.65,0,0
38,36103,1,1,mobile,1.86,1,0
23,54708,4,1,mobile,2.12,0,1
31,45564,1,0,desktop,2.76,0,0
30,71438,3,0,desktop,1.11,2,0
40,62403,3,0,desktop,0.57,2,0
49,77630,2,0,mobile,1.62,1,0
52,31768,2,0,desktop,3.01,2,1
19,70512,2,0,mobile,1.79,1,0
34,57439,1,0,mobile,1.89,0,0
23,44122,3,0,desktop,2.85,1,0
34,62338,1,1,mobile,2.5,2,0
39,78490,6,0,mobile,2.71,0,0
35,79069,4,1,mobile,2.93,0,0
34,67333,5,0,desktop,2.1,1,0
49,40125,2,0,mobile,1.3,2,0
42,59647,6,0,desktop,0.96,2,0
32,60136,2,0,mobile,0.84,1,0
35,73630,1,0,desktop,3.17,1,0
43,52526,1,0,desktop,0.85,2,0
41,55233,4,0,desktop,3.21,1,0
30,45197,2,0,desktop,1.96,1,0
17,65021,1,0,desktop,2.91,2,0
23,51768,3,1,mobile,2.99,0,1
36,57789,3,0,desktop,2.35,1,0
17,47956,1,0,desktop,2.88,1,0
33,55708,8,0,tablet,2.79,2,0
30,38793,4,0,mobile,3.57,1,1
44,57413,5,0,mobile,1.12,0,0
21,45961,3,1,desktop,2.67,0,0
15,65489,5,1,mobile,1.98,2,0
30,82711,1,1,desktop,1.89,0,0
41,67685,5,1,mobile,1.97,1,0
45,38201,3,0,desktop,3.77,1,1
25,49610,3,1,mobile,1.1,2,0
39,30854,3,0,desktop,2.33,0,0
23,55203,4,0,mobile,1.83,0,0
